Going in Circles,Libby Lazewink
3 Cheers for Shira,Libby Lazewink
Anything Can Happen,Libby Lazewink
Beginner's Luck,Libby Lazewink
On the Road,Libby Lazewink
Puzzle Pieces,Chanie Altein
Herschel's Battle,Sukey Gross
Picture Perfect,Sukey Gross
Decisions x 3,Chaya Sara Zirkind
The Secret Life of Devorah Leah Dubin,M. Jakobowicz
Mrs. Honig's Cakes,Pessie Frankel
A Whale of a Time,Rachel Stein
Between Friends,Miriam Shchonzeit
There's Zucchini in the Chocolate Cake,Miriam Shchonzeit
The Sweetest Song,Miriam Shchonzeit
The Lonely Shul,Meir Uri Gottesman
A Face at the Window,Meir Uri Gottesman
Chaimkel the Dreamer,Meir Uri Gottesman
Truth or Trial,Sarah Kisner
Dual Dilemmas,Chaya Sara Ben Shachar
Crack it!,P. Scharff
The Invisible Twins,Tova Shkedi
The Burksfield Bike Club,Chaim Finkelstein
Junior Chaveirim Series,M. C. Millman
What Avigayil Found,Miriam L. Elias
Brookville C.C. Getting Started,Tziporah Elian
Brookville C.C. Double Trouble,Tziporah Elian
The B. Y. Times Batya's Secret,Leah Klein
Changing Places,Sheryl Prenzlaw
Junior Chaveirim,M. C. Millman
Class-ified Information,M. C. Millman
Class-ified Information Faigy,M. C. Millman
Class-ified Information Naomi,M. C. Millman
The Private Eyes and the Mysterious Submarine,Neta Tzvieli
Light!,Yehoshua Leiman
Rebbe Mendel in a Class by Himself,Nathan Sternfeld
Rebbe Mendel Figure It Out,Nathan Sternfeld
Destination Unknown Book 1,Zev Spektor
The Churva Plot Book 2,Zev Spektor
Strangers in Yerushalayim Book 3,Zev Spektor
Hello Hedy Levi!,Yaffa Ganz
Safta Simcha and the Cinnamon Tree,Yaffa Ganz
Safta Simcha and the Roundabout Journey to Jerusalem,Yaffa Ganz
A story with Rabbi Juravel,
A Journey with Rabbi Juravel,
Baron Korff,Naftoli Ehrman
A Promise Fulfilled,Menacham Kagan
The Beauty of the Story,Rosally Saltsman
Little Sister,Ruti Tanewald
Iron Gates,Debbie Strom
Hostage,Esther Toker
A Classic Trio,Miriam L. Elias
And Rachel was his wife,Feldheim
Well-Put!,A. M. Amitz
Little Women,Louisa May Alcott
Mini Weapons of Mass Destruction,Austen
The Girl Who Drank the Moon,Kelly Barnhill
F This Test,Richard Benson
The Penderwicks,Jeanne Birdsall
The Penderwicks at Point Mouette,Jeanne Birdsall
The Penderwicks in Spring,Jeanne Birdsall
The Penderwicks at Last,Jeanne Birdsall
Farenheight 451,Ray Bradbury
A Little Princess,Francis Hodgson Burnett
The Secret Garden,Francis Hodgson Burnett
Freckle Juice,Judy Blume
"If You're Reading This, It's Too Late",Pseudonymous Bosch
This Book Is Not Good For You,Pseudonymous Bosch
This Isn't What it Looks Like,Pseudonymous Bosch
You Have to Stop This,Pseudonymous Bosch
The Twenty-One Balloons,William Penn du Bois
Misfit,Jen Calonita
Outlaws,Jen Calonita
The Janitor's Boy,Andrew Clements
Lunch Money,Andrew Clements
The Enchantress Returns,Chris Colfer
Beyond the Kingdoms,Chris Colfer
An Author's Odyssey,Chris Colfer
How to Speak Dragonese,Cressida Cowell
Wreck-It Ralph,Disney
Best Friends (Until Someone Better Comes Along),Erin Downing
The Hundred Dresses,Eleanor Estes
Frightful's Mountain,Jean Craighead George
Escape From Mr. Lemoncello's Library,Chris Grabenstein
Mr. Lemoncello's Library Olympics,Chris Grabenstein
Mr. Lemoncello's All-Star Breakout Game,Chris Grabenstein
The Girl with the Glass Bird,Esme Kerr
Big Red,Jim Kjelgard
The Olive Fairy Book,Andrew Lang
The Night Journey,Kathryn Lasky
To Kill a Mockingbird,Harper Lee
Ella Enchanted,Gail Carson Levine
A Wrinkle in Time,Madeline L'Engle
No More Dead Dogs,Gordon Korman
I Want to Go Home,Gordon Korman
The Unteachables,Gordon Korman
Restart,Gordon Korman
Bliss,Kathryn Littlewood
A Dash of Magic,Kathryn Littlewood
The Trilogy of Two,Juman Malouf
The Candymakers,Wendy Mass
Eleven Birthdays,Wendy Mass
Jeremy Fink and the Meaning of Life,Wendy Mass
Moccasin Trail,Eloise Jarvis Mcgraw
Bed-Knob and Broomstick,Mary Norton
Animal Farm,George Orwell
Keeper,Mal Peet
Freak the Mighty,Rodman Philbrick
Miss Peregrine's Home for Peculiar Children,Ransom Riggs
Hollow City,Ransom Riggs
Harry Potter and the Philosopher's Stone,J. K. Rowling
Harry Potter and the Chamber of Secrets,J. K. Rowling
Harry Potter and the Cursed Child,J. K. Rowling
There's a Boy in the Girl's Bathroom,Louis Sachar
The Invention of Hugo Cabret,Brian Selznick
Falling Up,Shel Silverstein
The Sign of the Beaver,Elizabeth George Speare
The Witch of Blackbird Pond,Elizabeth George Speare
Kid Authors,Stabler
Kid Illustrators,Stabler
The Mysterious Benedict Society,Trenton Lee Stewart
The Mysterious Benedict Society and the Prisoner's Dilemma,Trenton Lee Stewart
The Sword and the Circle,Rosemary Sutcliff
Dragonslayer,Tui T. Sutherland
Roll of Thunder Hear My Cry,Mildred Taylor
The Adventures of Tom Sawyer,Mark Twain
Sting,Jude Watson
So B. It,Sarah Weeks
Charlotte's Web,E. B. White
The Devil's Arithmetic,Jane Yolen
I Am Malala,Malala Yousafzai
The Thirteenth Princess,Diane Zahler
A True Princess,Diane Zahler
Princess of the Wild Swans,Diane Zahler